name,party,page
丁守中,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1557
王金平,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1558
王幸男,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1559
王進士,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1560
孔文吉,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1561
田秋堇,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1562
朱鳳芝,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1563
江玲君,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1564
江義雄,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1566
余天,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1567
余政道,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1568
吳育昇,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1570
吳清池,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1571
呂學樟,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1573
李明星,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1575
李俊毅,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1576
李復興,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1578
李慶華,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1581
李鴻鈞,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1582
周守訓,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1583
林明溱,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1585
林建榮,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1586
林炳坤,無黨團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1587
林郁方,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1588
林益世,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1589
林淑芬,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1590
林滄敏,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1591
林德福,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1592
林鴻池,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1593
邱毅,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1594
邱議瑩,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1596
侯彩鳳,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1597
帥化民,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1598
柯建銘,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1599
洪秀柱,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1600
紀國棟,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1601
孫大千,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1602
徐少萍,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1604
徐耀昌,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1605
翁金珠,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1606
翁重鈞,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1607
高志鵬,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1608
高金素梅,無黨團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1609
涂醒哲,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1610
張嘉郡,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1612
張慶忠,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1614
張顯耀,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1615
曹爾忠,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1616
郭玟成,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1617
郭素春,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1618
陳杰,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1620
陳亭妃,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1621
陳根德,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1622
陳節如,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1624
陳福海,無黨籍,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1625
陳瑩,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1626
曾永權,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1628
費鴻泰,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1629
黃志雄,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1630
黃昭順,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1631
黃偉哲,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1632
黃淑英,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1634
黃義交,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1635
楊仁福,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1636
楊瓊瓔,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1637
楊麗環,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1638
葉宜津,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1639
廖國棟,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1641
廖婉汝,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1642
管碧玲,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1643
趙麗雲,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1644
劉盛良,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1645
劉銓忠,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1646
潘孟安,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1647
潘維剛,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1648
蔣孝嚴,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1649
蔡正元,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1650
蔡同榮,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1651
蔡煌瑯,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1652
蔡錦隆,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1653
鄭汝芬,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1654
鄭金玲,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1655
鄭麗文,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1656
盧秀燕,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1657
盧嘉辰,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1658
蕭景田,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1659
賴士葆,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1660
薛凌,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1662
謝國樑,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1663
鍾紹和,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1664
簡東明,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1665
顏清標,無黨團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1666
羅明才,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1667
羅淑蕾,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1668
蘇震清,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1669
陳淑慧,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1670
蔣乃辛,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1672
劉建國,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1673
許舒博,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1674
馬文君,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1675
郭榮宗,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1676
賴坤成,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1677
王廷升,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1679
陳明文,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1680
彭紹瑾,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1681
黃仁杼,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1682
林岱樺,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1683
許添財,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1684
江連福,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1565
吳志揚,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1569
吳敦義,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1572
李乙廷,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1574
李紀珠,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1577
李嘉進,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1579
李慶安,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1580
林正二,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1584
邱鏡淳,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1595
徐中雄,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1603
張花冠,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1611
張碩文,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1613
陳秀卿,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1619
陳啟昱,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1623
傅崐萁,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1627
黃健庭,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1633
廖正井,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1640
賴清德,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1661
康世儒,無黨籍,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1671
簡肇棟,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1678
