name,party,page
王金平,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1809
王育敏,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1810
王定宇,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1811
王榮璋,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1813
孔文吉,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1814
尤美女,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1815
江永昌,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1816
江啟臣,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1817
何欣純,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1818
余宛如,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1819
吳玉琴,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1820
吳志揚,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1821
吳秉叡,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1822
吳思瑤,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1823
吳焜裕,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1824
吳琪銘,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1825
呂玉玲,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1826
呂孫綾,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1827
李昆澤,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1828
李俊俋,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1829
李彥秀,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1830
李鴻鈞,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1832
周春米,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1834
周陳秀霞,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1835
林岱樺,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1836
林俊憲,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1837
林昶佐,無黨籍,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1838
林為洲,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1839
林淑芬,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1840
林德福,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1841
林靜儀,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1842
林麗蟬,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1843
邱志偉,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1844
邱議瑩,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1845
柯志恩,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1847
柯建銘,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1848
段宜康,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1849
洪宗熠,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1850
洪慈庸,無黨籍,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1851
徐永明,時代力量,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1852
徐志榮,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1853
馬文君,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1856
高金素梅,無黨團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1858
張宏陸,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1860
張廖萬堅,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1861
莊瑞雄,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1863
許淑華,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1864
許智傑,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1865
許毓仁,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1866
