name,party,url
丁守中,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1685
王金平,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1686
王廷升,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1687
王育敏,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1688
王惠美,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1689
王進士,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1690
孔文吉,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1691
尤美女,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1692
田秋堇,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1693
江啟臣,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1694
江惠貞,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1695
何欣純,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1696
吳育仁,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1697
吳育昇,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1698
吳宜臻,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1699
吳秉叡,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1700
呂玉玲,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1701
呂學樟,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1702
李昆澤,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1703
李俊俋,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1704
李桐豪,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1705
李貴敏,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1706
李慶華,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1707
李應元,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1708
李鴻鈞,親民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1709
林岱樺,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1713
林郁方,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1715
林國正,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1716
林淑芬,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1717
林滄敏,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1718
林德福,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1719
林鴻池,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1720
邱文彥,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1721
邱志偉,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1722
邱議瑩,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1723
姚文智,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1724
柯建銘,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1725
段宜康,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1726
洪秀柱,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1727
孫大千,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1729
徐少萍,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1730
徐欣瑩,民國黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1731
翁重鈞,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1733
馬文君,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1734
高志鵬,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1735
高金素梅,無黨團結聯盟,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1736
張嘉郡,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1737
張慶忠,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1738
許添財,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1741
許智傑,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1742
陳其邁,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1743
陳明文,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1744
陳亭妃,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1745
陳唐山,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1746
陳根德,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1747
陳淑慧,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1748
陳雪生,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1749
陳超明,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1750
陳節如,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1751
陳碧涵,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1752
陳歐珀,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1753
陳學聖,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1754
陳鎮湘,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1755
曾巨威,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1756
費鴻泰,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1757
黃志雄,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1759
黃昭順,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1760
黃偉哲,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1761
楊玉欣,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1762
楊應雄,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1763
楊曜,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1764
