name,party,education,url
丁守中,中國國民黨,"
台灣大學政治系學士
美國佛萊契爾外交法律研究院(哈佛大學合作管理)國際政治學博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1557
王金平,中國國民黨,"
台灣省立師範大學數學系畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1558
王幸男,民主進步黨,"
陸軍軍官學校專修班畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1559
王進士,中國國民黨,"
省立屏東高中
世界新聞專科學校(三年制)
國立中山大學管理學院公共事務管理研究所管理學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1560
孔文吉,中國國民黨,"
英國羅芙堡大學社會學系媒體研究組博士
美國奧勒崗大學新聞碩士
台灣大學外文系
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1561
田秋堇,民主進步黨,"
國立台灣大學哲學系
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1562
朱鳳芝,中國國民黨,"
成功大學外文系
淡江大學陸研所碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1563
江玲君,中國國民黨,"
高苑技術學院企業管理系學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1564
江義雄,中國國民黨,"
日本明治大學法學博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1566
余天,民主進步黨,"
新竹縣立第一高級中學（高中補習學校）
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1567
余政道,民主進步黨,"
美國南加大法學碩士
美國紐澤西州立大學財務金融研究所
國立台灣大學EMBA
台北醫學大學畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1568
吳育昇,中國國民黨,"
政治大學公共行政研究所碩士
政治大學政治系學士
台南一中
嘉義縣新港國中
嘉義縣新港國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1570
吳清池,中國國民黨,"
光華國高中
沙崙國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1571
呂學樟,中國國民黨,"
英國國立格萊摩根大學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1573
李明星,中國國民黨,"
MBA美國克萊蒙大學企管碩士
成功大學工程科學系學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1575
李俊毅,民主進步黨,"
國立政治大學公共行政碩士
國立政治大學公共行政系畢業
省立台南二中
城光中學
歸南國小
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1576
李復興,中國國民黨,"
國立台中商專
日本國立東京國語大學文學士
日本國立東京學藝大學教育學碩士
日本國立九州大學博士侯選人
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1578
李慶華,中國國民黨,"
美國紐約大學歷史學博士
國立政治大學法律系學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1581
李鴻鈞,中國國民黨,"
日本大學工學博士
黎明工專畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1582
周守訓,中國國民黨,"
美國康乃爾大學政策分析暨管理學博士
美國艾默森傳播學院傳播學碩士
世新大學
延平中學
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1583
林明溱,中國國民黨,"
中華工業專科學校
朝陽科技大學休閒管理研究所碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1585
