"","違反槍砲彈藥刀械管制條例概況",,單位：件 、人 
"違反槍砲彈藥刀械管制條例概況","發生數(件) / 臺北市 ","破獲數(件) / 臺北市 ","嫌疑犯(人) / 臺北市 "
"90年","        76","       119","       124"
"90年 1月","         7","         6","         9"
"90年 2月","         5","        14","        13"
"90年 3月","         9","        14","        11"
"90年 4月","         4","         7","         7"
"90年 5月","         7","        14","        20"
"90年 6月","         6","         8","         8"
"90年 7月","         6","         9","         8"
"90年 8月","         9","        15","        12"
"90年 9月","         6","         8","         6"
"90年 10月","         8","        10","        11"
"90年 11月","         6","         9","        12"
"90年 12月","         3","         5","         7"
"91年","        93","       134","         －"
"91年 1月","         7","         4","         2"
"91年 2月","         6","        13","         8"
"91年 3月","         7","         8","         4"
"91年 4月","        14","        14","        17"
"91年 5月","         6","         8","         7"
"91年 6月","         6","        12","        11"
"91年 7月","         9","        12","         8"
"91年 8月","         4","         8","         7"
"91年 9月","         8","        14","        10"
"91年 10月","         9","        15","        10"
"91年 11月","         9","        11","        10"
"91年 12月","         8","        15","        14"
"92年","       121","       187","       147"
"92年 1月","         9","        15","        15"
"92年 2月","         8","        11","         5"
"92年 3月","         9","        19","        16"
"92年 4月","        11","        15","        10"
"92年 5月","        12","        15","        12"
"92年 6月","         9","        15","        12"
"92年 7月","        11","        15","         9"
"92年 8月","        12","        13","         8"
"92年 9月","        11","        18","        21"
"92年 10月","        14","        23","        18"
"92年 11月","         8","        12","         7"
"92年 12月","         7","        16","        14"
"93年","       189","       319","       223"
"93年 1月","         7","        18","        16"
"93年 2月","        14","        20","         9"
"93年 3月","         8","        13","         7"
"93年 4月","        11","        18","        10"
"93年 5月","        13","        17","        16"
"93年 6月","        11","        15","        13"
"93年 7月","        23","        40","        26"
"93年 8月","        27","        40","        32"
"93年 9月","        21","        45","        28"
"93年 10月","        17","        27","        18"
"93年 11月","        17","        33","        24"
"93年 12月","        20","        33","        24"
"94年","       190","       360","       238"
"94年 1月","        27","        47","        35"
"94年 2月","         8","        23","         9"
"94年 3月","        20","        27","        16"
"94年 4月","        11","        23","        14"
"94年 5月","        17","        35","        32"
"94年 6月","        18","        33","        26"
"94年 7月","        14","        32","        17"
"94年 8月","        14","        28","        24"
"94年 9月","        17","        30","        16"
"94年 10月","        16","        31","        17"
"94年 11月","        17","        31","        23"
"94年 12月","        11","        20","         9"
"95年","       181","       321","       252"
"95年 1月","        26","        43","        24"
"95年 2月","        12","        26","        16"
"95年 3月","        11","        18","        12"
"95年 4月","        16","        31","        28"
"95年 5月","        16","        38","        41"
"95年 6月","        21","        24","        20"
"95年 7月","        15","        27","        16"
"95年 8月","        11","        28","        19"
"95年 9月","        18","        28","        26"
"95年 10月","        10","        14","        14"
"95年 11月","        15","        24","        21"
"95年 12月","        10","        20","        15"
"96年","       126","       213","       156"
"96年 1月","         9","        16","        14"
"96年 2月","        13","        21","        18"
"96年 3月","        19","        33","        19"
"96年 4月","        10","        13","        11"
"96年 5月","        17","        29","        26"
"96年 6月","         8","        12","         5"
"96年 7月","        11","        19","         7"
"96年 8月","        11","        17","        15"
"96年 9月","         9","        15","        11"
"96年 10月","         5","         8","         9"
"96年 11月","         8","        21","        17"
"96年 12月","         6","         9","         4"
"97年","       103","       188","       117"
"97年 1月","        14","        21","        15"
"97年 2月","        11","        21","        14"
"97年 3月","        11","        29","        15"
"97年 4月","        10","        22","        16"
"97年 5月","         9","        15","         8"
"97年 6月","        11","        13","         5"
"97年 7月","        11","        18","        10"
"97年 8月","         3","        12","         7"
